Hole-Cost,Hole-Height-Cost,1-Line-Value,2-Line-Value,3-Line-Value,4-Line-Value,Jagged-Cost,Height-Cost,Combo-Value,Height-Threshold,Result
50.11941238965334,13.825019028287944,57.42504076310151,42.22707417966885,73.52067609527157,20.230683274290673,21.9025241687822,37.39260626610024,63.4961419467152,7,0
50.11941238965334,17.158352361621276,54.09170742976817,42.22707417966885,76.8540094286049,23.564016607624005,21.9025241687822,37.39260626610024,66.82947528004853,7,0.03333333333333333
46.786079056320006,20.491685694954608,57.42504076310151,42.22707417966885,76.8540094286049,23.564016607624005,25.235857502115532,37.39260626610024,70.16280861338186,6,0
43.45274572298667,23.82501902828794,54.09170742976817,42.22707417966885,76.8540094286049,20.230683274290673,25.235857502115532,37.39260626610024,70.16280861338186,7,0
46.786079056320006,17.158352361621272,50.758374096434835,42.22707417966885,76.8540094286049,20.230683274290673,21.9025241687822,37.39260626610024,66.82947528004853,7,0
46.786079056320006,27.158352361621272,50.758374096434835,45.56040751300218,76.8540094286049,23.564016607624005,21.9025241687822,40.72593959943357,63.49614194671519,8,0.03333333333333333
40.119412389653334,3.8250190282879366,50.758374096434835,48.89374084633552,80.18734276193823,23.564016607624005,25.235857502115532,44.05927293276691,63.49614194671519,8,0
43.45274572298667,0.4916856949546031,50.758374096434835,48.89374084633552,83.52067609527155,26.897349940957337,25.235857502115532,44.05927293276691,63.49614194671519,8,0
43.45274572298667,0.4916856949546031,50.758374096434835,48.89374084633552,83.52067609527155,26.897349940957337,25.235857502115532,44.05927293276691,63.49614194671519,9,0
43.45274572298667,3.8250190282879366,50.758374096434835,45.56040751300218,86.85400942860488,26.897349940957337,25.235857502115532,44.05927293276691,66.82947528004853,8,0.03333333333333333
43.45274572298667,3.8250190282879366,54.09170742976817,45.56040751300218,83.52067609527155,26.897349940957337,25.235857502115532,40.72593959943357,70.16280861338186,8,0
43.45274572298667,7.1583523616212705,57.42504076310151,48.89374084633552,83.52067609527155,26.897349940957337,25.235857502115532,40.72593959943357,70.16280861338186,7,0
